DEL SGR  EPS SGR
ETA SGR  EPS SGR

XI  SCO  NU  SCO
BET1SCO  NU  SCO
BET1SCO  DEL SCO
PI  SCO  DEL SCO
PI  SCO  RHO SCO
BET1SCO  SIG SCO
PI  SCO  SIG SCO
ALP SCO  SIG SCO
ALP SCO  TAU SCO
EPS SCO  TAU SCO
EPS SCO  MU1 SCO
ZET1SCO  MU1 SCO
ZET1SCO  ETA SCO
THE SCO  ETA SCO
THE SCO  IOT1SCO
KAP SCO  IOT1SCO
KAP SCO  LAM SCO

PI  SCL  ALP SCL
DEL SCL  ALP SCL
DEL SCL  ZET SCL
ETA SCL  ZET SCL
DEL SCL  GAM SCL
BET SCL  GAM SCL

BET SCT  ALP SCT
ZET SCT  ALP SCT
GAM SCT  ALP SCT

KAP SER  GAM SER
BET SER  GAM SER
BET SER  KAP SER
BET SER  DEL SER
ALP SER  DEL SER
ALP SER  EPS SER
OME SER  EPS SER
OME SER  MU  SER

THE1SER  ETA SER
OMI SER  ETA SER
OMI SER  XI  SER
NU  SER  XI  SER

ALP TRI  BET TRI
12  TRI  BET TRI
12  TRI  ALP TRI

TAU VIR  ZET VIR
DEL VIR  ZET VIR
DEL VIR  OMI VIR
NU  VIR  OMI VIR
NU  VIR  BET VIR
ETA VIR  BET VIR
ETA VIR  GAM VIR
DEL VIR  GAM VIR
DEL VIR  EPS VIR
GAM VIR  THE VIR
ALP VIR  THE VIR
ALP VIR  KAP VIR

23  VUL  15  VUL
13  VUL  15  VUL 
13  VUL  ALP VUL
1   VUL  ALP VUL

ALP2CVN  BET CVN

7   CAM  BET CAM
ALP CAM  BET CAM
42  CAM  43  CAM
